codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-T2.40,1,HACHA 600G	THT786006,"Hacha TOTAL<br>
Tipo INDUSTRIAL<br>
Peso: 600g<br>
Forjada en acero al carbono #45<br>
Tratamiento térmico<br>
Mango de fibra de vidrio antideslizante",,2,0,USD,7.6,TOTAL,HACHA 600G	THT786006,
CM-T2.41,1,"ALICATE PINZA 6""	THT130606P","Alicate de corte 6&quot; TOTAL<br>
Tamaño: 6&quot; / 160mm<br>
Material : Cromo vanadio<br>
Mango antideslizante de seguridad",,2,,USD,4.3,TOTAL,"ALICATE PINZA 6""	THT130606P",
CM-T2.42,1,"LLAVE INGLESA 12""	THT171206","Llave de caño tipo Stillson TOTAL 12&quot;<br>
Tamaño: 12&quot; (300mm)<br>
Diámetro máximo de sujeción: 42 mm<br>
Mandíbula móvil forjada con acero al carbono de alta calidad.<br>
Tuerca de ajuste moldeada y templada<br>
Material del cuerpo: fundición dúctil<br>
Dientes fuertes que permite una gran fuerza de compresión<br>
Cuerpo extra largo para lograr mayor fuerza de torsión.",,2,,USD,9.15,TOTAL,"LLAVE INGLESA 12""	THT171206",
CM-T2.43,1,"LLAVE INGLESA 14""	THT171146","Llave de caño tipo Stillson TOTAL 14&quot;<br>
Tamaño: 14&quot; (350mm)<br>
Diámetro máximo de sujeción: 42 mm<br>
Mandíbula móvil forjada con acero al carbono de alta calidad.<br>
Tuerca de ajuste moldeada y templada<br>
Material del cuerpo: fundición dúctil<br>
Dientes fuertes que permite una gran fuerza de compresión<br>
Cuerpo extra largo para lograr mayor fuerza de torsión.",,2,,USD,10.4,TOTAL,"LLAVE INGLESA 14""	THT171146",
CM-T2.44,1,"LLAVE INGLESA 18""	THT171186","Llave de caño tipo Stillson TOTAL 18&quot;<br>
Tamaño: 18&quot; (450mm)<br>
Diámetro máximo de sujeción: 42 mm<br>
Mandíbula móvil forjada con acero al carbono de alta calidad.<br>
Tuerca de ajuste moldeada y templada<br>
Material del cuerpo: fundición dúctil<br>
Dientes fuertes que permite una gran fuerza de compresión<br>
Cuerpo extra largo para lograr mayor fuerza de torsión.",,2,,USD,15.5,TOTAL,"LLAVE INGLESA 18""	THT171186",
CM-T2.45,1,"SIZALLA 8""	THT11386","Cizalla TOTAL 8&quot;<br>
Tipo INDUSTRIAL<br>
Corta bulón<br>
Tamaño: 8&quot;&quot;<br>
Cuchilla de Cromo Vanadio<br>
Acabado negro y pulido.<br>
TPR mango de dos colores<br>
Corte ajustable <br>
Con traba de cierre de mango",,2,,USD,5.2,TOTAL,"SIZALLA 8""	THT11386",
CM-T2.46,1,"SIZALLA 14""	THT113146","Cizalla TOTAL 14&quot;<br>
Tipo INDUSTRIAL<br>
Tamaño: 14&quot;&quot;<br>
Corta hasta un diámetro de 7mm<br>
Cuchilla de Cr-V<br>
Acabado negro y pulido.<br>
TPR mango de dos colores de goma antideslizante",,2,,USD,13,TOTAL,"SIZALLA 14""	THT113146",
CM-T2.47,1,"SIZALLA 18""	THT113186","Tamaño: 18&quot;<br>
Corta hasta un diámetro de 8mm<br>
Cuchilla de Cr-V<br>
Acabado negro y pulido.<br>
TPR mango de dos colores de goma antideslizante",,2,,USD,17.7,TOTAL,"SIZALLA 18""	THT113186",
CM-T2.48,1,"SIZALLA 24""	THT113246","Tamaño: 24&quot;<br>
Corta hasta un diámetro de 10 mm<br>
Cuchilla de Cr-V<br>
Acabado negro y pulido.<br>
TPR mango de dos colores de goma antideslizante",,2,,USD,23.5,TOTAL,"SIZALLA 24""	THT113246",
CM-T2.49,1,PINZA CORTA TUBO 42MM	THT53422,"Tijera corta tubo / caño TOTAL<br>
Longitud: 225mm<br>
Diámetro de corte: 3-42mm<br>
Material: Aluminio<br>
Presentación: en blister",,2,,USD,10.4,TOTAL,PINZA CORTA TUBO 42MM	THT53422,
CM-T2.50,2,DESTORNILLADORES SET X6 PZAS,"Juego de 6 destornilladores TOTAL <br>
Línea INDUSTRIAL<br>
<br>
Nuevo diseño de mango de mayor seguridad y comodidad<br>
Material: CR-V<br>
Compuesto por: <br>
1 unidad SL 5.5 * 5 * 75- 1 unidad SL 5.5 * 5 * 100 - <br>
1 unidad SL 6.5 * 6 * 150 - <br>
1 unidad PH 1 * 5 * 75 - <br>
1 unidad PH 1 * 5 * 10 - 0<br>
1 unidad PH 2 * 6 * 150<br>
Presentación: blister",THT250606,2,,USD,6.95,TOTAL,DESTORNILLADORES X6	THT250606,TOTAL
CM-T2.51,1,DESTORNILLADORES X 18	THT250618,"Juego de 18 destornilladores comunes y de precisión TOTAL.<br>
Con organizador de pared<br>
Nuevo diseño de mango, mayor seguridad y comodidad.<br>
Material: CR-V, cuerpo cilíndrico<br>
- Juego de 8 destornilladores comunes:<br>
&nbsp;&nbsp;&nbsp;1 unidad de : SL5.5 * 5 * 75 - SL6.5 * 6 * 100 - SL8.0 * 8 * 150 - SL6.5 * 6 * 38 - PH1 * 5 * 75 - PH2 * 6 * 100 - PH3 * 8 * 150 - PH2 * 6 * 38<br>
- Juego de destornilladores de precisión de 10 piezas<br>
&nbsp;&nbsp;&nbsp;SL 1.5 * 50 - SL2 * 50 - SL2.5 * 50 - SL3 * 50 - PH 000 * 50 - PH 00 * 50 - PH 0 * 50 - T6 * 50 - T8 * 50 - T10 * 50<br>
Incluye soporte organizador para pared<br>
Presentación: en blister",,2,,USD,20,TOTAL,DESTORNILLADORES X 18	THT250618,
CM-T2.52,1,DESTORNILLADOR PRECISION X7	THT250726,"Juego de destornilladores de precisión TOTAL de 7 Piezas<br>
nuevo diseño de mango y nueva caja de plástico.<br>
Línea INDUSTRIAL<br>
Compuesto por:<br>
&nbsp;&nbsp;SL 2.0 * 50 <br>
&nbsp;&nbsp;SL 2.5 * 50, <br>
&nbsp;&nbsp;SL 3.0 * 50, <br>
&nbsp;&nbsp;PH 00 * 50, <br>
&nbsp;&nbsp;PH 0 * 50,<br>
&nbsp;&nbsp;T &nbsp;6 * 50,<br>
&nbsp;&nbsp;T &nbsp;8 * 50.<br>
Material: CR-V<br>
Mango ergonómico de agarre cómodo<br>
Empaque caja de plástico",,,,USD,7.6,TOTAL,DESTORNILLADOR PRECISION X7	THT250726,
CM-T2.53,1,DESTORNILLADOR 6 PUNTAS	THT2506076,"Juego de destornilladores TOTAL<br>
Línea INDUSTRIAL<br>
Tipo puntas intercambiables 6 en 1<br>
2 piezas de dos puntas:<br>
&nbsp;&nbsp;6.35 * 65 mm PH 1 + SL 5<br>
&nbsp;&nbsp;8.00 * 75mm &nbsp;PH 2 + SL 6<br>
Zócalo Hexagonal 2 pcs: 6 mm, 8 mm<br>
Material: CR-V<br>
Mango de goma de seguridad",,,,USD,4.4,TOTAL,DESTORNILLADOR 6 PUNTAS	THT2506076,
CM-T2.54,1,DESTORNILLAODR 9 PUNTAS	THT250906,"Juego de destornilladores intercambiables TOTAL<br>
Compuesto por :<br>
3 piezas SL 3x65 - 5x65 - 6x65<br>
3 piezas PH 0x65 - 1x65 - 2x65<br>
1 pieza 5x65 removedor de clavos / tachuelas<br>
1 pieza 3x65 rascador punzón<br>
Material: CR-V<br>
Mango ergonómico antideslizante <br>
Presentación: set en blister",,2,,USD,8.2,TOTAL,DESTORNILLAODR 9 PUNTAS	THT250906,
CM-T2.55,1,DESTORNILLADOR 13 EN 1	TACSD30136,"Juego de destornilladores TOTAL con cricket 13 en 1<br>
Compuesto por:<br>
Manija de cricket <br>
Mango articuloado antideslizante<br>
Puntas de destornillador de 12 piezas 6.35 * 25 mm<br>
Tamaño: SL4, SL5, SL6, SL7, PH0, PH1, PH2, PH3, PZ0, PZ1, PZ2, PZ3<br>
Material: CR-V<br>
Empaque: blister",,2,,USD,6.45,TOTAL,DESTORNILLADOR 13 EN 1	TACSD30136,
CM-T2.56,1,HERRAMIENTAS KIT 25 PZ	THKTHP90256,"Kit INDUSTRIAL de herramientas TOTAL<br>
Compuesto por 25 herramientas manuales<br>
Compuesto por:<br>
1 pinza con alicate de 7&quot;<br>
1 alicate de corte diagonal de 6&quot;<br>
1 llave ajustable de 8&quot;<br>
Cinta métrica de acero de 3m x 16mm<br>
1 destornillador de puntas intercambiebles de 100 mm con ajuste magnético<br>
20 puntas para destornillador intercambiables <br>
Tipos de puntas: SL3 SL4 SL5 SL6 PH0 PH1 PH2 PH3 PZ0 PZ1<br>
PZ2 PZ3 T10 T15 T20 T30 H3 H4 H5 H6<br>
Empaque : en valija pástica",,2,,USD,31,TOTAL,HERRAMIENTAS KIT 25 PZ	THKTHP90256,
CM-T2.58,1,PUNTA CINCEL 250 X 16 X 22	THT4211026,"Punta Cincel TOTAL <br>
Punta chata de 22 mm<br>
Grosor del cincel: 16mm<br>
Longitud: 250 mm<br>
Material ： acero al carbono #45<br>
Forjada y con tratamiento térmico.<br>
Con agarre y protector para la mano, de goma",,52,,USD,3.6,TOTAL,PUNTA CINCEL 250 X 16 X 22	THT4211026,
CM-T2.59,1,PUNTA CINCEL 250 X 16	THT4221026,"Punta Cincel TOTAL <br>
Punta de 4 mm<br>
Grosor del cince: 16mm<br>
Longitud: 250 mm<br>
Material ： acero al carbono #45<br>
Forjada y con tratamiento térmico.<br>
Con agarre y protector para la mano, de goma",,2,,USD,3.6,TOTAL,PUNTA CINCEL 250 X 16	THT4221026,
CM-T2.60,1,PUNTA CINCEL 300 X 18	THT4221226,"Punta Cincel TOTAL <br>
Punta de 4 mm<br>
Grosor del cince: 18mm<br>
Longitud: 250 mm<br>
Material ： acero al carbono #45<br>
Forjada y con tratamiento térmico.<br>
Con agarre y protector para la mano, de goma",,2,,USD,4.4,TOTAL,PUNTA CINCEL 300 X 18	THT4221226,
CM-T2.61,1,"REMACHADORA POP 10.5""	THT32105","Remachadora pop TOTAL<br>
Línea INDUSTRIAL <br>
Tamaño: 10.5&quot;<br>
Cuerpo de aleación de aluminio<br>
Aplica los siguientes tipos de remache:<br>
&nbsp;&nbsp;2.4 mm<br>
&nbsp;&nbsp;3.2 mm<br>
&nbsp;&nbsp;4.0 mm<br>
&nbsp;&nbsp;4.8 mm<br>
Mango de goma antideslizante<br>
Presentación: blister",,2,,USD,9,TOTAL,"REMACHADORA POP 10.5""	THT32105",
CM-T2.62,1,ENGRAPADORA MANUAL 4-14MM	THT31142,"Grapadora TOTAL<br>
Línea INDUSTRIAL<br>
Tamaño de las grapas: 4 a 14mm<br>
Grapas diámetro exterior: 11.3mm.<br>
Ancho de las grapas 1.2mm<br>
Peso ： 800g<br>
Con 1000 grapas de regalo<br>
Empaque: blister",,2,,USD,18,TOTAL,ENGRAPADORA MANUAL 4-14MM	THT31142,
CM-T2.63,1,SIERRA ARCO INDUSTRIAL	THT54106,"Arco de sierra para metales TOTAL<br>
Línea INDUSTRIAL<br>
Tamaño: 300 mm / 12&quot;<br>
Estructura de acero resistente<br>
Aluminio + ABS + TPR mango, fuerte y cómodo<br>
Tensión ajustable<br>
Mecanismo de cambio de cuchilla de liberación rápida<br>
Incluye: 1 hoja de sierra 65Mn",,2,,USD,10.9,TOTAL,SIERRA ARCO INDUSTRIAL	THT54106,
CM-T2.65,1,"LLAVE FRANCESA 10""	THT101106","Llave ajustable tipo francesa TOTAL<br>
Longitud: 250 mm (10&quot;)<br>
Material: Cromo Vanadio<br>
Tamaño de boca ajustable: 0-35mm<br>
Mango de goma bicolor antideslizante<br>
Presentación blister",,2,,USD,10.2,TOTAL,"LLAVE FRANCESA 10""	THT101106",
CM-T2.66,1,"LLAVE FRANCESA 12""	THT101126","Llave ajustable tipo francesa TOTAL<br>
Longitud: 350mm (12&quot;&quot;)<br>
Material: CrV<br>
Tamaño de boca ajustable: 0-35mm<br>
Mango de goma bicolor antideslizante<br>
Presentación blister",,2,,USD,15.1,TOTAL,"LLAVE FRANCESA 12""	THT101126",
CM-T2.69,1,NIVEL ALUMINIO 225MM	TMT2235,"Mini nivel de aluminio TOTAL <br>
Longitud: 225mm<br>
Magnético<br>
Nivelación de 3 ángulos<br>
&nbsp;0º<br>
&nbsp;45º<br>
&nbsp;90º<br>
Material: Aluminio y plástico ABS.",,2,,USD,2.75,TOTAL,NIVEL ALUMINIO 225MM	TMT2235,
CM-T2.71,1,NIVEL ALUMINIO 80CM	TMT2806,"Nivel de aluminio TOTAL <br>
Línea INDUSTRIAL<br>
Longitud: 80cm<br>
Ranura en forma de V para medir objetos cilíndricos.<br>
Magnético<br>
Nivelación de 3 ángulos<br>
&nbsp;0º<br>
&nbsp;45º<br>
&nbsp;90º<br>
Burbuja de precisión de 0,5 mm / m<br>
Grosor del aluminio: 1.5 mm",,2,,USD,13.5,TOTAL,NIVEL ALUMINIO 80CM	TMT2806,
CM-T2.72,1,NIVEL ALUMINIO 1 METRO	TMT21006,"Nivel de aluminio TOTAL <br>
Línea INDUSTRIAL<br>
Longitud: 1 metro<br>
Ranura en forma de V para medir objetos cilíndricos.<br>
Magnético<br>
Nivelación de 3 ángulos<br>
&nbsp;0º<br>
&nbsp;45º<br>
&nbsp;90º<br>
Burbuja de precisión de 0,5 mm / m<br>
Grosor del aluminio: 1.5 mm",,2,,USD,16.4,TOTAL,NIVEL ALUMINIO 1 METRO	TMT21006,
CM-T2.73,1,LINTERNA LED MINERO	THL013AAA2,"Linterna de vincha tipo &quot;minero&quot; TOTAL <br>
CREE XPE2-R3 LED<br>
Brillo:<br>
&nbsp;&nbsp;Max: 180 lúmenes<br>
&nbsp;&nbsp;Bajo: 45 lúmenes.<br>
Utilice pilas alcalinas AAA<br>
Distancia máxima del haz de luz: 50 metros<br>
Resistente a la lluvia IPX4<br>
Presentación : blister",,2,,USD,15,TOTAL,LINTERNA LED MINERO	THL013AAA2,
CM-44.32,1,BRILLO LABIAL MATTE,,,12,,$,42,COSMETICA,LABIAL BRILLO MATTE LG1732,
CM-44.27,1,DELINEADOR Y MASCARA SET,,44,12,,$,97,COSMETICA,DELINEADOR Y MASCARA CS397,
CM-44.35,1,SOMBRA X27 COLORES,,,2,,$,290,COSMETICA,SOMBRA PALETA X27 ES2624-2/4,
CM-44.36,1,POLVO COMPACTO OIL CONTROL,,,24,,$,85,COSMETICA,POLVO FACIAL OIL CONTROL USHAS FC523A,
CM-44.34,1,MASCARA SOMBRA LAPIZ SET,,,3,,$,125,COSMETICA,MASCARA SOMBRA LAPIZ -SET- E17147A USHAS,
CM-JP2.1,1,BODY MIST VANILL,,,12,,$,125,PERFUMES,BODY MIST I.SECRET SENSUAL VANILLA 8.4OZ,
CM-JP2.2,1,BODY MIST SHEER ATRACTION,,,12,,$,125,PERFUMES,BODY MIST I.SECRET SHEER ATRACTION 8.4OZ,
CM-JP2.3,1,BODY MIST PEAR TMPTATION,,,12,,$,125,PERFUMES,BODY MIST I.SECRET PEAR TEMPTATION 8.4OZ,
CM-JP2.4,1,BODY MIST AMBER FLIRT,,,12,,$,125,PERFUMES,BODY MIST I.SECRET AMBER FLIRT 8.4OZ,
CM-JP2.5,1,BODY MIST ENCHANTED KISS,,,12,,$,125,PERFUMES,BODY MIST I.SECRET ENCHANTED KISS 8.4OZ,
CM-JP2.6,1,BODY MIST STRAWBERRY KISS,,,12,,$,125,PERFUMES,BODY MIST I.SECRET STRAWBERRY KISS 8.4OZ,
CM-44.42,1,POLVO COMPACTO ALOE,"Polvo compacto ALOE<br>
Marca LIDANXIU<br>
3 tonos de color diferente<br>
Incluye esponja aplicadora.<br>
Presentación: exhibidor de 24 pzas.",39110,6,,$,49,COSMETICA,POLVO FACIAL ALOE 8808,
CM-44.45,1,SOMBRA X18 COLORES LIDANXIU,,,12,,$,58,COSMETICA,SOMBRA PETACA 8818,
CM-44.43,1,SOMBRA X7 LIDANXIU,,,12,,$,68,COSMETICA,SOMBRA X 7 3108,
CM-44.44,1,LABIAL LIDANXIU 3123,,,24,,$,33,COSMETICA,LABIAL 3123 C560,
CM-44.26,1,DELINEADOR LIQUIDO USHAS,,,12,,$,58,COSMETICA,DELINEADOR USHAS SMOOTHLY EL310,
CM-44.28,1,SOMBRA LAPIZ USHAS,,,12,,$,39,COSMETICA,SOMBRA LAPIZ USHAS TP102B,
CM-44.33,1,LABIAL USHAS,,,36,,$,33,COSMETICA,"LABIAL LAPIZ USHAS LI190A,B",
CM-44.23,1,REMOVEDOR DE MAQUILLAJE,,,12,,$,198,COSMETICA,REMOVEDOR MAQUILLAJE USHAS FS133,
CM-43.111,1,POLVO COMPACTO MATE LIDANXIU,"Polvo compacto marca LIDANXIU<br>
Disponible UNICAMENTE Tono 4<br>
Tipo ; MATE<br>
Tamaño XL, diámetro: 9.5cm<br>
Incluye espona aplicadora<br>
Presentación: exhibidor de 12 unidades.",4239,6,,$,87,COSMETICA,POLVO COMPACTO MATE MARKER 3206,
CM-43.112,1,POLVO COMPACTO MATE ALOE,,43112,12,,$,87,COSMETICA,POLVO COMPACTO MATE ALOE 3206-A,
CM-43.113,1,LABIAL MATE,,43113,12,,$,14,COSMETICA,LABIAL MATE 3702,
CM-43.114,1,LABIAL 3D MATE,"Lápiz labial marca Lidanxiu<br>
Modelo 3D colores MATE<br>
12 colores diferentes.<br>
Capuchón transparente<br>
Presentación : exhibidor de 24 unidades",418,6,,$,32,COSMETICA,LABIAL 3D COLD 3116,
CM-43.115,1,ESMALTE DE UÑAS 8019,,43115,24,,$,23,COSMETICA,ESMALTE UÐAS 8019A,
CM-43.117,1,LABIAL MATE 24H,,43117,24,,$,42,COSMETICA,LABIAL MATE 24H MR-115,
CM-43.118,1,ESMALTE DE UÑAS ESPEJO,,43118,12,,$,75,COSMETICA,ESMALTE UÐAS ESPEJO JM02,
CM-43.119,1,SOMBRA 18 COLORES,,43119,12,,$,52,COSMETICA,SOMBRA KASANDRA X 18 F360,
CM-43.120,1,DELINEADOR EN GEL MIIS,,43121,6,,$,32,COSMETICA,DELINEADOR GEL G01,
CM-43.121,1,DELINEADOR LIQUIDO MISS,,43121,12,,$,32,COSMETICA,DILINEADOR MISS 840,
CM-43.122,1,MASCARA MAX,,,12,,$,32,COSMETICA,MASCARA MAX B26,
CM-43.123,1,TINTA PELO,,43123,12,,$,32,COSMETICA,TINTA PELO 11-2,
CM-43.125,1,ESMALTE DE UÑAS,,43125,24,,$,23,COSMETICA,ESMALTE UÐAS 1710,
CM-43.126,1,TINTURA MECHAS PELO HUG11132,"Set para tintura de pelo.<br>
Se elimina el color con el lavado de cabello.<br>
Apto para todos los colores de cabello.<br>
4 colores: Rosado, Azul, Fucsia y verde<br>
Con aplicador incluido y muy fácil de usar.<br>
Presentación: set en caja , apta para exhibidor.",43126,2,,$,130,COSMETICA,TIZA PELO COLOR X6 B005,
CM-43.127,1,ENCHUFE ADAPTADOR 110V,"Ficha adaptadora para enchufes de paleta chata<br>
Se adapta a cualquier tipo de enchufe.<br>
No posee conexión a tierra<br>
Presentación: a granel<br>
Disponible en color blanco",373132,15,,$,6.6,FERRETERIA,CONECTOR FICHA USA,
CM-43.128,1,TIZA COLOR CABELLO 12 COLORES,"Tiza de colores para cabello.<br>
Set de 12 colores.<br>
Color instantáneo. Se aplica con el pelo húmedo o seco.<br>
Colorea temporalmente el cabello y se quita con el siguiente lavado.<br>
Presentación: set en caja.",4037,2,,$,130,TOCADOR,TIZA PELO COLOR 6-5,
CM-44.50,1,PERFUME ONLYOU,,4450,12,,$,119,PERFUMES,PERFUME ONLYOU	 OLU830-12,
CM-44.51,1,PERFUME ONLYOU,,4451,12,,$,119,PERFUMES,PERFUME ONLYOU	OLU830-4,
CM-44.55,1,SHAMPOO CANAS DEXE X10 SOBRES,,4455,2,,$,187,COSMETICA,SHAMPOO CANAS-NEGRO 20G X10 DEXE640,
CM-44.56,1,CASCO PROFESIONAL S,"Casco tipo profesional<br>
Talle: S (55-56 cm)<br>
Colores opacos<br>
Con protección interior de espuma<br>
Correas regulables, con cierre de presión.<br>
Presentación: a Granel.<br>
Colores Varios",4456,2,,USD,13,DEPORTES,CASCO BICI-URBANO-T/PROFEC. GKL/GKS,
CM-44.57,1,CASCO NIÑO BICICLETA T/PROF,,4457,,,$,208,DEPORTES,CASCO NIÐO BICI-ROLLER NEW S507,
CM-44.58,1,CASCO NIÑO BICICLETA,,4458,6,,$,155,DEPORTES,CASCO NIÐO BICI-ROLLER SXQH6,
CM-44.59,1,CASCO INFANTIL,,4459,2,,USD,13,DEPORTES,CASCO NIÐO BICI-ROLLER T/PROFEC. 201801,
CM-44.60,1,CASCO BICI PROFESIONAL,,4460,3,0,USD,13,DEPORTES,CASCO BICI PROFESIONAL ONE SISE YF12,
CM-44.61,1,LAVATORIO PELUQUERIA,"Lavatorio para peluquería.<br>
Base de 4 radios <br>
Pileta regulable en inclinación y en altura <br>
Caño de desagüe y tapón de goma incluidos<br>
Fabricado en PVC <br>
Medidas:altura: de 85 a 130 cms<br>
Presentación: a granel.",3862,1,,USD,31,TOCADOR,LAVATORIO PELUQUERA 8-4,
CM-44.62,1,PINZA PELUQUERA METAL 4.5 CM X100,,4462,2,,$,210,TOCADOR,PINZA PELUQUERA METAL 4.5CM X100 8-10,
CM-44.63,1,TINTURA MECHAS PELO HUG11132,"Set para tintura de pelo.<br>
Se elimina el color con el lavado de cabello.<br>
Apto para todos los colores de cabello.<br>
4 colores: Rosado, Azul, Fucsia y verde<br>
Con aplicador incluido y muy fácil de usar.<br>
Presentación: set en caja , apta para exhibidor.",3521,2,,$,110,TOCADOR,TIZA PELO X4 COLORES 8-5,
CM-44.64,1,TIZA PELO COLOR GDE X12,"Tiza de colores para cabello.<br>
Set de 12 colores.<br>
Color instantáneo. Se aplica con el pelo húmedo o seco.<br>
Colorea temporalmente el cabello y se quita con el siguiente lavado.<br>
Presentación: set en caja.",42153,4,,$,128,TOCADOR,TIZA PELO X12 COLORES 8-3,
CM-44.65,1,BOTELLA ROCIADORA ALUMINIO 250 ML 4-2,"Botella rociadora indestructible<br>
Material: ALUMINIO <br>
Rociador con tipo de salida regulable<br>
Capacidad: 250 ml.<br>
Presentación: en bolsa individual, apta para exhibidor.",4032,3,,$,79,TOCADOR,BOTELLA ROCIADORA ALUMINIO 300CC 8-2,
CM-44.66,1,RELOJ TIMER PLÁSTICO,,4466,12,,$,248,BAZAR,RELOJ TIMER MINUTERO COCINA PELUQUERIA,
CM-44.67,1,ONDULIN POTE X 300 PZAS,,4467,,,$,157,TOCADOR,ONDULIN POTE X 300 UNID. 8-6,
CM-44.69,1,CAPA PELUQUERA 98 X 142 CM,"Capa protectora de tela para peluquería.<br>
Colores: rojo, amarillo y azul<br>
Medidas: 142 x 98 cm<br>
Presentación: en bolsa individual",2737,3,,$,77,TOCADOR,CAPA PELUQUERA 8-7,
CM-44.70,1,CARRITO PELUQERA MANICURA,,4470,1,,$,1500,TOCADOR,CARRITO PELUQUERA MANICURA 8-11,
CM-44.71,1,CALENTADOR DE CERA MX100,,4471,3,,USD,9,TOCADOR,CALENTADOR CERA MX100 8-1,
CM-44.72,1,SECADOR GEMEI 2600W,"Secador de pelo Crown modelo GM1701<br>
Potencia: 2600 W<br>
3 niveles de calor<br>
2 Velocidades.<br>
Incluye boquilla concentradora para peinado<br>
Largo del cable 1.8mts<br>
Presentación en caja individual.",4472,2,,USD,13,ELECTRODOMESTICOS,SECADOR DE PELO GEMEI 2600W GM1766,
CM-44.73,1,CORTA PELO MASCOTA GEMEI,"Cortador de pelo para mascotas<br>
4 peines diferentes, intercambiebles de 12, 9, 6, y 3 mm<br>
Regulación de posición de cuchillas de 0.8 a 2.0 mm<br>
Se carga en cualquier terminal USB<br>
Autonimía de uso 60min<br>
Carga: 5 hs.<br>
Presentación: set en caja",4473,2,,USD,19,ELECTRODOMESTICOS,CORTA PELO MASCOTA RECARGAB. GEMEI GM634,
CM-44.74,1,SECADOR GEMEI 1200W,"Secador de pelo Crown modelo GM1701<br>
Potencia: 1200 W<br>
Control de temperatura de 3 posiciones<br>
2 Velocidades.<br>
Incluye boquilla para peinado<br>
Largo del cable 1.8mts<br>
Presentación en caja individual.",4474,2,,USD,11,ELECTRODOMESTICOS,SECADOR CABELLO GEMEI 1200W GM1701,
CM-44.75,1,"CORTA PELO NARIZ, CEJAS","Perfilador de cejas de precisión. Y cortador de bello.<br>
Funciona con 1xAAA<br>
Presentación: blister<br>
Incluye peine doble, regulador de corte y tapa protectora.",4475,6,,$,165,TOCADOR,CORTA PELO NARIZ Y CEJAS GM518A,
CM-44.76,1,"CORTADOR BARBA, NARIZ","4 funciones en 1<br>
Perfilador de barba y bigote, cortapelo de nariz y orejas<br>
Funciona con 1xAAA<br>
Presentación: blister<br>
Incluye peine doble, regulador de corte y tapa protectora.",4476,6,,$,165,TOCADOR,CORTADOR BARBA NARIZ GM-518,
CM-44.77,1,SOMBRA X 48 COLORES,"Petaca de sombras de 48 colores<br>
Con espejo y aplicador <br>
Presentación: en caja individual",4477,6,,$,175,COSMETICA,SOMBRA X 48 COLORES PETACA 8848,
CM-44.78,1,REMACHADORA POP,"Remachadora manual<br>
Para remaches POP<br>
4 bocas, para 4 grosores de remaches<br>
Incluye llave para cambio de boca<br>
Presentación: blister individual",4478,6,,USD,5,FERRETERIA,REMACHADORA POP HR901N,
CM-44.79,1,DADOS CRICKET JUEGO 32 PZAS,"2 pcs 1/2&quot; para bujías de 16mm y 21mm<br>
1 pcs 1/2 &quot;x 5&quot; barra de extensión corta<br>
1 pcs 1/2 &quot;x 10&quot; barra de extensión larga<br>
1 pza Adaptador de 3 ejes <br>
1 pieza 1/2 &quot;manija con cricket regulable<br>
6 tomas 1/2 &quot;(12 pts): 10,12, 13, 14,16, 17 mm<br>
19 tomas 1/2 &quot;sockets (6 puntos): 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 20, 21,",4479,3,,USD,44,FERRETERIA,DADOS JUEGO CRICKET 32 PIEZAS 16-2,
CM-44.80,1,DADOS 40 PZAS,"Juego de llaves tipo dado de 40 piezas.<br>
Llave con cricket regulable de 3 posicioes.<br>
Llave tipo destornillador.<br>
Contenido: llaves sistema milimétrico (4 a 13) y de pulgadas (5/32 a 9/16&quot;)<br>
Presentación: set en caja plástica",33161,1,,USD,6.3,FERRETERIA,DADOS CRICKET 40 PIEZAS 16-1,
CM-44.81,1,SPLITTER DIVISOR VGA,"Splitter divisor para monitores y TV`s<br>
Tipo VGA<br>
De 1 a 2 <br>
Presentación: en bolsa individual",4481,6,,$,96,ELECTRONICA,SPLITTER VGA - RCA A/V G-12,
CM-44.82,1,LECTOR DE TARJETAS DE MEMORIA,"Lector de tarjetas de memoria para PC<br>
Conexión USB 2.0 - 480MB x Segundo<br>
Con luz led indicadora <br>
Apto para tarjetas tipo: SD, TF, MiniSD, M2, M5, MMC, XD, etc.<br>
Presentación: blister individual, apto para exhibidor.",36101,6,,USD,0.8,ELECTRONICA,,
CM-44.83,1,CARGADOR PSP,,4483,3,,$,147,ELECTRONICA,CARGADOR PSP 1000 2000 3000 6-10,
CM-44.84,1,ALARMA INALAMBRICA,"Sensor de movimiento, con 2 controles<br>
Rango de funcionamiento: 110º<br>
Alarma sonora de 105dB<br>
Funciona con 4 AA no incluidas<br>
Soporte de pared direccionable.<br>
Presentación: set en blister",4484,4,,USD,9,ELECTRONICA,ALARMA INALAMBRICA 2 CONTROLES YL05,
CM-44.85,1,CONTROL REMOTO AIRE UNIVERSAL,"Control remoto universal para sistemas de aire acondicionado.<br>
Apto para mas de 160 marcas de acondicionadores<br>
Con display LCD<br>
Funciona con 2 AAA no incluidas<br>
Presentación: blister individual",4485,6,,USD,3.4,ELECTRONICA,CONTROL REMOTO AIRE UNIVERSAL K1028E,
CM-44.86,1,CONVERSOR AUDIO DIGITAL A ANALÓGICO,,4486,6,,USD,8,ELECTRONICA,CONVERSOR AUDIO DIGITAL A ANALÓGICO 6-13,
