codigo,Estado en Web,articulo,descripcion,web,minimo,ultimoin,moneda,precio,familia,figaro,marca
CM-44.39,1,BASTON 4 APOYOS REGULABLE,"Bastón de 4 apoyos, de altura regulable.<br>
Excelente estabilidad<br>
Mango anatómico<br>
Altura regulable desde 68 a 85 cmm<br>
8 variaciones posibles , cada 2.4 cm<br>
Presentación: a granel",4174,2,,$,375,ORTOPEDIA,BASTON 4 APOYOS REGULABLE LG-J01,
CM-44.40,1,BASTON PLEGABLE REGULABLE,"Baston metálico plegable en 5 tramos<br>
De altura regulable 82 a 93 cms<br>
Regaton de goma antideslizante<br>
Mango plástico y correa<br>
Incluye estuche con broche de seguridad<br>
Variedad de colores.",4440,2,,$,225,ORTOPEDIA,BASTON PLEGABLE REGULABLE 12-1,
CM-44.37,1,CERRADURA CON 2 LLAVES,"Cerradura con cerrojo de seguridad<br>
3 llaves tipo YALE. <br>
Tambor extraible<br>
Reversible. <br>
Manijas cromadas<br>
Presentación: en caja individual.<br>
Medidas: 22.9 x 7,8 x 1.9 cm.",33177,1,,$,330,FERRETERIA,CERRADURA PUERTA 3 LLAVES 8945,
CM-44.38,1,CILINDRO PARA CERRADURA PUERTA,"Repuesto para cerradura<br>
Cilindro intercambiable con 3 llaves<br>
Presentación: blister",4438,3,,$,110,FERRETERIA,CILINDRO P/CERRADURA PUERTA 3 LLAV VA-3K,
CM-44.13,1,SEPARADOR DEDOS,"Separador de dedos de gomaeva.<br>
Presentación: set de dos unidades, en bolsa apta para exhibidor.<br>
Medidas: 9x3.5 cms.",30130,24,,$,14,TOCADOR,SEPARADOR DEDOS PAR 2-8,
CM-44.1,1,PINZA DE CEJAS,"Pinza de cejas metálica clásica.<br>
Marca: Zinger<br>
Presentación: blister individual, apto para exhibidor.<br>
Medidas: 9 x 0.9 cm<br>
Código de barras: 6937661801254",2879,12,,$,19,TOCADOR,PINZA DE CEJAS 2-9,
CM-44.2,1,ESPONJA FACIAL X2,"Set de 2 esponjas faciales<br>
Rectangular y circular<br>
Presentación: set en bolsa individual, apta para exhibidor.<br>
Empaque: paquete de 24 unidades",25347,24,,$,12,TOCADOR,ESPONJA FACIAL X2 2-5,
CM-44.3,1,LIMA ESCOFINA,"Lima y escofina 2 en 1<br>
Marca: Zinger<br>
Mango de plástico.<br>
Colores: rosado y celeste.<br>
Presentación: bolsa individual. Apta para exhibidor.<br>
Medidas: 17 x 3 cms.",2962,12,,$,16,TOCADOR,LIMA ESCOFINA ZINGER 2-6,
CM-44.4,1,MOLDE PARA CEJAS,"Molde para delinear cejas<br>
5 moldes con formas diferentes para delinear cejas<br>
Soporte intercambiable<br>
Material: plástico<br>
Presentación: set en blister, apto para exhibidor",444,6,,$,45,TOCADOR,MOLDE PARA CEJAS PLASTICO 2-13,
CM-44.5,1,TIJERA PELUQUERO ENTRESACAR,"Tijera de entresacar marca ZINGER<br>
Tipo profesional.<br>
Un filo dentado y uno normal<br>
Largo total 17 cms<br>
Con tuerca para desarmado<br>
Anatómica, con tope de goma<br>
Presentación: blister individual, apto para exhibidor",445,3,,$,245,TOCADOR,TIJERA PELUQUERO PROFESIONAL 2-15,
CM-44.7,1,GORRA DE BAÑO,"Gorra para baño en Nylon grueso, elastizada.<br>
Diseños: estampados varios.<br>
Presentación: caja de mica, apta para exhibidor.<br>
Tamaño: Standard.",3144,12,,$,25,TOCADOR,GORRA DE BAÐO 2-3,
CM-44.8,1,REMOVEDOR PUNTO NEGRO,"Removedor de punto negro ZINGER<br>
Tipo aguja, de doble punta<br>
En estuche individual<br>
Presentación: blister individual",4213,12,,$,28,TOCADOR,AGUJA PUNTO NEGRO 2-7,
CM-44.9,1,PINZA DE CEJAS PUNTA DORADA,"Pinza de cejas metálica clásica.<br>
Con punta dorada<br>
Marca: Zinger<br>
Presentación: blister individual, apto para exhibidor.<br>
Medidas: 9 x 0.9 cm",33155,6,,$,28,TOCADOR,PINZA DE CEJAS GOLD ZINGER 2-10,
CM-44.10,1,PALO NARANJA X12,"Juego de palos de naranja para manicuría.<br>
Retira cutícula y limpieza de la uña<br>
Largo aprox : 17 cm<br>
Presentación: bolsa de 12 unidades, apta para exhibidor.",3986,24,,$,24,TOCADOR,RETIRA CUTICULA PALO NARANJA x12  2-14,
CM-44.11,1,CORTA CALLOS,"Corta callos de acero con hojas intercambiables.<br>
Marca: ZINGER<br>
Incluye 5 hojas de repuesto.<br>
Presentación: set en blister apto para exhibidor.<br>
Medidas: largo: 14.5 cm",33156,6,,$,50,TOCADOR,RETIRA CALLOS C/5 HOJAS 2-12,
CM-44.12,1,ESPONJA EXFOLIANTE,"Esponja exfoliante simil titania<br>
Marca : Adoro<br>
Medidas: 10 x 5 x 2.5 cm<br>
4 colores diferentes<br>
Presentación: exhibidor de 24 unidades.",4215,1,,$,34,TOCADOR,ESPONJA EXFOLIANTE T/TITANIA B012,
